##############################
##     Pa11y CI results     ##
##############################

##     Running Pa11y CI:
##         DATETIME: 2026-02-09T16_48_03
##         SITEMAP:  https://news.kcc.edu/pa11y-ci-sitemap.xml


Running Pa11y on 176 URLs:
 > https://news.kcc.edu/2024/12/06/let-kcc-help-with-your-fafsa.html - 0 errors
 > https://news.kcc.edu/2024/12/04/police-care-package-project-a-success.html - 0 errors
 > https://news.kcc.edu/2024/12/04/book-buyback-dec-5-12.html - 0 errors
 > https://news.kcc.edu/2024/12/02/the-2025-26-fafsa-is-now-open.html - 0 errors
 > https://news.kcc.edu/2024/11/28/remodeling-projects.html - 0 errors
 > https://news.kcc.edu/2024/11/12/workforce-equity-initiative-bridges-workforce-gaps-in-illinois.html - 0 errors
 > https://news.kcc.edu/2024/11/07/dual-credit-program-offers-an-early-start-in-college.html - 0 errors
 > https://news.kcc.edu/2024/11/07/congratulations-kelsey-gioja.html - 0 errors
 > https://news.kcc.edu/2024/10/29/veterans-day-recognition-event.html - 0 errors
 > https://news.kcc.edu/2024/10/29/grant-program-supports-kcc-health-careers-students.html - 0 errors
 > https://news.kcc.edu/2024/10/28/treat-a-veteran.html - 0 errors
 > https://news.kcc.edu/2024/10/25/temporary-maintenance-in-food-service-area.html - 0 errors
 > https://news.kcc.edu/2024/10/07/celebrate-national-transfer-week.html - 0 errors
 > https://news.kcc.edu/2024/10/07/register-to-vote.html - 0 errors
 > https://news.kcc.edu/2024/10/02/free-movie-popcorn.html - 0 errors
 > https://news.kcc.edu/2024/09/26/ceremony-held-to-commemorate-renewable-energy-installation.html - 0 errors
 > https://news.kcc.edu/2024/09/20/the-food-pantry-has-moved.html - 0 errors
 > https://news.kcc.edu/2024/09/18/free-kickboxing-class.html - 0 errors
 > https://news.kcc.edu/2024/09/13/your-input-matters.html - 0 errors
 > https://news.kcc.edu/2024/09/12/free-food-fafsa-workshops-at-kcc.html - 0 errors
 > https://news.kcc.edu/2024/09/05/wear-red-to-receive-a-prize-at-pack-the-place.html - 0 errors
 > https://news.kcc.edu/2024/09/05/golf-outing-to-support-kcc-athletics.html - 0 errors
 > https://news.kcc.edu/2024/08/27/summer-2024-daisy-award.html - 0 errors
 > https://news.kcc.edu/2024/08/22/kcc-s-marketing-director-honored-in-lifestyles-magazine.html - 0 errors
 > https://news.kcc.edu/2024/08/22/fall-resource-fair-for-kcc-students.html - 0 errors
 > https://news.kcc.edu/2024/08/20/new-rotc-partnership.html - 0 errors
 > https://news.kcc.edu/2024/08/19/meet-with-local-employers.html - 0 errors
 > https://news.kcc.edu/2024/08/09/kcc-women-s-soccer-team-open-for-new-players.html - 0 errors
 > https://news.kcc.edu/2024/08/05/golf-outing-to-support-kcc-athletics.html - 0 errors
 > https://news.kcc.edu/2024/08/01/summer-2024-president-s-list-announced.html - 0 errors
 > https://news.kcc.edu/2024/08/01/summer-2024-honors-list-announced.html - 0 errors
 > https://news.kcc.edu/2024/07/30/discounted-rates-available-for-non-credit-training-at-kcc.html - 0 errors
 > https://news.kcc.edu/2024/07/30/financial-aid-workshops-at-kcc.html - 0 errors
 > https://news.kcc.edu/2024/07/24/courses-for-the-love-of-learning.html - 0 errors
 > https://news.kcc.edu/2024/07/23/i-got-your-six-5k-donates-65-000-to-kcc-foundation.html - 0 errors
 > https://news.kcc.edu/2024/06/26/live-music-and-fireworks-on-july-4th.html - 0 errors
 > https://news.kcc.edu/2024/06/20/registration-underway-for-fall-2024-classes.html - 0 errors
 > https://news.kcc.edu/2024/06/13/jerry-hoekstra-receives-iccta-certificate-of-merit-award.html - 0 errors
 > https://news.kcc.edu/2024/06/06/capital-development-board-information-session-june-26.html - 0 errors
 > https://news.kcc.edu/2024/06/05/jerry-hoekstra-retires-from-kcc-board-of-trustees.html - 0 errors
 > https://news.kcc.edu/2024/06/05/spring-2024-daisy-award.html - 0 errors
 > https://news.kcc.edu/2024/05/29/expect-closures-around-front-entrance.html - 0 errors
 > https://news.kcc.edu/2024/05/28/spring-2024-president-s-list-announced.html - 0 errors
 > https://news.kcc.edu/2024/05/28/spring-2024-honors-list-announced.html - 0 errors
 > https://news.kcc.edu/2024/05/09/summer-remodeling.html - 0 errors
 > https://news.kcc.edu/2024/05/08/kcc-s-quick-takes-part-in-action-day.html - 0 errors
 > https://news.kcc.edu/2024/05/07/clinical-experience-of-pts-ptas.html - 0 errors
 > https://news.kcc.edu/2024/05/06/congratulations-graduates.html - 0 errors
 > https://news.kcc.edu/2024/04/24/alumnus-eric-peterson-honored-for-achievements.html - 0 errors
 > https://news.kcc.edu/2024/04/11/student-receives-second-coca-cola-scholarship.html - 0 errors
 > https://news.kcc.edu/2024/04/10/stem-club-travels-to-witness-full-eclipse.html - 0 errors
 > https://news.kcc.edu/2024/04/02/kcc-s-medical-lab-tech-program-accredited.html - 0 errors
 > https://news.kcc.edu/2024/03/25/pie-in-the-face-fundraiser.html - 0 errors
 > https://news.kcc.edu/2024/03/22/kcc-instructor-receives-teacher-of-the-year-award.html - 0 errors
 > https://news.kcc.edu/2024/03/19/2024-high-school-art-show-on-display.html - 0 errors
 > https://news.kcc.edu/2024/03/11/kcc-nursing-program-grads-attain-100-pass-rate.html - 0 errors
 > https://news.kcc.edu/2024/03/11/become-a-student-representative.html - 0 errors
 > https://news.kcc.edu/2024/03/06/cbcf-scholarship-information.html - 0 errors
 > https://news.kcc.edu/2024/03/05/new-flag-in-veteran-s-center.html - 0 errors
 > https://news.kcc.edu/2024/03/01/upcoming-fast-path-information-session.html - 0 errors
 > https://news.kcc.edu/2024/02/28/courses-for-the-love-of-learning.html - 0 errors
 > https://news.kcc.edu/2024/02/26/sna-political-action-day-on-april-16.html - 0 errors
 > https://news.kcc.edu/2024/02/23/fafsa-help-available-at-kcc.html - 0 errors
 > https://news.kcc.edu/2024/02/23/dr-king-center-donates-scholarship-to-kcc-foundation.html - 0 errors
 > https://news.kcc.edu/2024/02/21/new-leader-for-academic-affairs-at-kcc.html - 0 errors
 > https://news.kcc.edu/2024/02/19/explore-the-science-of-love.html - 0 errors
 > https://news.kcc.edu/2024/02/13/donations-accepted-twin-sheets.html - 0 errors
 > https://news.kcc.edu/2024/02/06/hiring-event-gotion.html - 0 errors
 > https://news.kcc.edu/2024/01/24/explore-time-resolutions.html - 0 errors
 > https://news.kcc.edu/2024/01/10/meet-recruiters-at-the-riverfront-campus-and-north-extension-center.html - 0 errors
 > https://news.kcc.edu/2024/01/10/fall-2023-daisy-award.html - 0 errors
 > https://news.kcc.edu/2024/01/08/spring-resource-fair-for-kcc-students.html - 0 errors
 > https://news.kcc.edu/2024/01/04/it-s-time-to-complete-the-fafsa.html - 0 errors

✔ 176/176 URLs passed
